timestamp,arbitration_id,extended,remote,error,dlc,data
2.176,0x10b,0,0,0,8,BQ8AAAAAAAA=
2.6,0x310,0,0,0,8,AQACAAAAAAA=
2.699,0x50e,0,0,0,8,AAAAAAAAAAA=
2.728,0x10c,0,0,0,8,AQCAAAAAAAA=
2.788,0x12c,0,0,0,8,AggAAHAXAAA=
2.8,0x19f,0,0,0,8,AAAAAHgoAAA=
2.899,0x50f,0,0,0,8,eCgyAHYFXwA=
2.917,0x12d,0,0,0,8,AACIE+AuAQA=
3.0,0x1a7,0,0,0,8,AACcGAgARBY=
3.138,0x12a,0,0,0,8,EAAAAAACAAA=
3.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
3.599,0x310,0,0,0,8,AQACAAAAAAA=
3.7,0x50e,0,0,0,8,AAAAAAAAAAA=
3.727,0x10c,0,0,0,8,AQCAAAAAAAA=
3.787,0x12c,0,0,0,8,AggAAHAXAAA=
3.799,0x19f,0,0,0,8,AAAAAHkoAAA=
3.9,0x50f,0,0,0,8,eCgtAHYFXwA=
3.916,0x12d,0,0,0,8,AACIE+AuAQA=
3.999,0x1a7,0,0,0,8,AACcGAgARBY=
4.138,0x12a,0,0,0,8,EAAAAAACAAA=
4.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
4.599,0x310,0,0,0,8,AQACAAAAAAA=
4.699,0x50e,0,0,0,8,AAAAAAAAAAA=
4.729,0x10c,0,0,0,8,AQCAAAAAAAA=
4.788,0x12c,0,0,0,8,AggAAHAXAAA=
4.799,0x19f,0,0,0,8,AAAAAHgoAAA=
4.899,0x50f,0,0,0,8,eCgyAHUFXwA=
4.926,0x12d,0,0,0,8,AACIE+AuAQA=
4.999,0x1a7,0,0,0,8,AACcGAgARBY=
5.14,0x12a,0,0,0,8,EAAAAAACAAA=
5.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
5.579,0x8192a3b,1,0,0,8,AAAAAAAAAAA=
5.599,0x310,0,0,0,8,AQACAAAAAAA=
5.7,0x50e,0,0,0,8,AAAAAAAAAAA=
5.727,0x10c,0,0,0,8,AQCAAAAAAAA=
5.792,0x12c,0,0,0,8,AggAAHAXAAA=
5.799,0x19f,0,0,0,8,AAAAAHkoAAA=
5.9,0x50f,0,0,0,8,eCgtAHUFXwA=
5.92,0x12d,0,0,0,8,AACIE+AuAQA=
6.0,0x1a7,0,0,0,8,AACcGAgARBY=
6.1,0x10000201,1,0,0,8,AwICAAAAAwA=
6.14,0x12a,0,0,0,8,EAAAAAACAAA=
6.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
